id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38346920,Suite La Meraviglia - Saint Peter Vatican- Balcony,50836642,Alessio E Ambra,,XIII Aurelia,41.8947,12.4503,Private room,97,1,12,2021-09-26,0.45,4,201,2,
38347455,Beautiful open space flat with garden,61967674,Andrea,,V Prenestino/Centocelle,41.871,12.54531,Entire home/apt,55,3,0,,,1,0,0,
38348857,Studio 1410 | monolocale a Settebagni,5495419,Stella,,III Monte Sacro,42.00465,12.51976,Entire home/apt,50,1,5,2021-10-01,0.20,2,5,3,
38349672,comfort double room near train station,291839133,Youth Hostel,,I Centro Storico,41.89585,12.50769,Private room,48,1,0,,,1,87,0,
38351503,Stanza matrimoniale in appartamento centrale,1722817,Maria,,VIII Appia Antica,41.86476,12.49839,Private room,43,1,3,2020-03-14,0.12,2,350,0,
38352656,Hermes Suite 30 : CVN-006005-8,233097272,Giuseppina,,I Centro Storico,41.90604,12.46829,Entire home/apt,60,3,32,2021-12-07,1.22,7,336,20,
38352891,Dolce Roma Suite 32 : CVN-006005-8,233097272,Giuseppina,,I Centro Storico,41.90604,12.46829,Entire home/apt,70,3,24,2021-11-30,0.88,7,255,4,
38353222,Pearl Suite One : CVN-000114-3,233097272,Giuseppina,,I Centro Storico,41.88914,12.47695,Entire home/apt,70,3,58,2021-11-29,2.18,7,282,32,
38353640,Roman Holidays Hostel near Termini-Double Ensuite,291238628,Ciprian,,I Centro Storico,41.90543,12.49997,Hotel room,59,1,12,2021-09-18,0.49,12,21,4,
38353708,Pearl Suite Two : CVN-000114-3,233097272,Giuseppina,,I Centro Storico,41.88872,12.47597,Entire home/apt,60,3,46,2021-11-29,1.70,7,334,29,
38354058,One person room With WIFI,207728921,FRANK  Home,,I Centro Storico,41.89769,12.50401,Private room,23,1,44,2020-03-05,1.61,8,38,0,
38354710,B&B casa di Annalù-casa vacanze in zona Vaticano,291882551,Annaluisa,,I Centro Storico,41.9117,12.46491,Entire home/apt,100,1,0,,,1,98,0,
38357999,Elena’s house room 3,9151495,Elena,,II Parioli/Nomentano,41.91639,12.50468,Private room,55,1,3,2019-09-23,0.11,5,0,0,
38361683,Domus Oderisi,160496,Francesco,,XI Arvalia/Portuense,41.86712,12.46673,Entire home/apt,79,2,2,2019-10-14,0.07,11,4,0,
38362476,private room ensuite bathroom,291238628,Ciprian,,I Centro Storico,41.90576,12.50053,Private room,79,1,1,2020-09-26,0.07,12,18,0,
38363268,Roman Holidays Hostel near Termini- Double Shared,291238628,Ciprian,,I Centro Storico,41.90367,12.50047,Hotel room,50,1,22,2021-09-24,0.81,12,28,3,
38368531,Roman Holiday - Vatican St Peter,273611820,Donatella,,I Centro Storico,41.90809,12.45222,Entire home/apt,75,2,10,2020-02-29,0.38,2,0,0,
38370770,Castel Sant'Angelo Penthouse Rome,122971179,Jean-François,,I Centro Storico,41.89946,12.46667,Entire home/apt,750,2,1,2019-09-10,0.04,1,0,0,
38372327,NEW! Amazing Terrace Apt. near Spanish Steps,292189354,Claudio,,I Centro Storico,41.9038,12.48011,Entire home/apt,132,1,44,2021-11-21,1.62,3,304,26,
38372351,Opera Luxury Rosmini,7492655,Claudia,,I Centro Storico,41.89988,12.49862,Entire home/apt,230,2,0,,,3,322,0,
38377297,Casa di charme e design a due passi dal Colosseo.,45214412,Andrea,,I Centro Storico,41.88754,12.50247,Entire home/apt,92,2,12,2020-01-14,0.44,1,77,0,
38383461,10 e lode,60765994,Maria Luigia,,I Centro Storico,41.90371,12.49663,Private room,79,1,0,,,1,333,0,
38384482,Germanico Luxury Apartment,60799291,Francesco,,I Centro Storico,41.90993,12.46206,Entire home/apt,162,1,4,2021-11-21,0.16,3,351,2,
38391846,Maison Colosseo Rome Apartment,292456276,Riccardo,,I Centro Storico,41.89367,12.48926,Entire home/apt,109,1,1,2019-10-21,0.04,1,0,0,
38392409,Regolo Rooms Vaticano - Deluxe Double Room,288102037,Regolo Rooms,,I Centro Storico,41.90848,12.46294,Private room,132,1,0,,,7,361,0,
38392418,Regolo Rooms Vaticano - Deluxe Double Room,288102037,Regolo Rooms,,I Centro Storico,41.90848,12.46294,Private room,132,1,0,,,7,361,0,
38392432,Regolo Rooms Vaticano - Twin Room,288102037,Regolo Rooms,,I Centro Storico,41.90848,12.46294,Private room,132,1,0,,,7,361,0,
38392446,Regolo Rooms Vaticano - Twin Room,288102037,Regolo Rooms,,I Centro Storico,41.90848,12.46294,Private room,132,1,0,,,7,361,0,
38392454,Regolo Rooms Vaticano - Economy Triple Room,288102037,Regolo Rooms,,I Centro Storico,41.90848,12.46294,Private room,152,1,0,,,7,361,0,
38392471,Regolo Rooms Vaticano - Economy Double Room,288102037,Regolo Rooms,,I Centro Storico,41.90848,12.46294,Private room,122,1,0,,,7,333,0,
